Q84#4_2,Q84#4_3,Q84#4_1,Q84#4_4,Q84#6_4,Q84#6_1,Q84#6_2,Q84#6_3,Q84#2_1,Q84#2_2,Q84#2_3,Q84#2_4,Q84#3_1,Q84#3_3,Q84#3_2,Q84#3_4,Q84#5_2,Q84#5_1,Q84#5_4,Q84#1_4,Q84#1_3,Q84#1_2,Q84#1_1,Q84#5_3
Comfortable,Comfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable
Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable
Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Comfortable,Neutral,Neutral,Uncomfortable,Comfortable,Neutral,Neutral,Uncomfortable,Neutral,Comfortable,Very Uncomfortable,Uncomfortable,Neutral,Neutral,Neutral,Uncomfortable
Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable
Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Comfortable,Very Comfortable,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral
Very Uncomfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Neutral,Comfortable,Very Comfortable,Neutral,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Neutral
Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable
Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Comfortable,Uncomfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Neutral
Uncomfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Very Comfortable,Uncomfortable
Neutral,Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Very Uncomfortable,Neutral,Comfortable,Comfortable,Comfortable
